name,version,license,category,fall,licensecheck_compat,field_of_use_flag,action
SYMPY,1.14.0,BSD LICENSE,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
THINC,8.3.13,MIT LICENSE,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
THREADPOOLCTL,3.6.0,BSD LICENSE,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
TOKENIZERS,0.22.2,APACHE SOFTWARE LICENSE,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
TOMLKIT,0.14.0,MIT LICENSE,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
TORCH,2.12.1+cu126,BSD-3-CLAUSE,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
TORCHVISION,0.27.1+cu126,BSD,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
TORNADO,6.4,APACHE SOFTWARE LICENSE,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
TRAITLETS,5.14.2,BSD LICENSE,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
TRANSFORMERS,5.13.0,APACHE 2.0 LICENSE,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
TRITON,3.7.1,MIT LICENSE,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
TYPEGUARD,4.5.2,MIT,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
TYPER,0.26.8,MIT,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
TYPING-INSPECTION,0.4.2,MIT,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
TZDATA,2026.2,APACHE-2.0,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
URLLIB3,2.7.0,MIT,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
UVICORN,0.51.0,BSD-3-CLAUSE,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
UVLOOP,0.22.1,APACHE SOFTWARE LICENSE;; MIT LICENSE,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
WASABI,1.1.3,MIT,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
WATCHFILES,1.2.0,MIT LICENSE,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
WCWIDTH,0.2.13,MIT LICENSE,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
WEASEL,1.0.0,MIT LICENSE,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
WEBSOCKETS,16.0,BSD-3-CLAUSE,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
WRAPT,2.2.2,BSD-2-CLAUSE,Permissive,1,True,,OK - satisfy attribution/NOTICE duties
